"","CellID","CompID","BaseID","Comppartialprofit_Mean","Comppartialprofit_SD","Comppartialprofit_CV","Comppartialprofit_Max","Comppartialprofit_Min","CompCropFailureProb","CompMinPropSOSDBase","Basepartialprofit_Mean","Basepartialprofit_SD","Basepartialprofit_CV","Basepartialprofit_Max","Basepartialprofit_Min","BaseCropFailureProb","BaseMinPropSOSDComp","Diff_Mean_CompBase","Diff_SD_CompBase","Diff_CV_CompBase","Diff_CropFailureProbCompBase","MinProp_CompSOSDBase_Divdbasepartialprofit","MinProp_BaseSOSDComp_Divdbasepartialprofit","Riskiness_Comp","RiceArea"
"1800",2618,1,1,123212.510429869,9889.80260811508,0.0802662211297464,143195.473502993,97187.1226650847,0,-50682.775423698,72529.735002522,34004.4470015415,0.468834568337511,128425.66585305,25593.4809119781,0,-79963.4061797645,50682.7754273473,-24114.6443934264,-0.388568347207765,0,-0.698786165728245,-1.10249135995029,1,1
"1801",2619,1,1,121213.270575305,13180.5974629088,0.108738897979989,143063.672543517,92104.3883444058,0,-44363.3025958953,76849.967972163,33406.9584736818,0.434703609580978,134121.008374401,28433.6832052056,0,-66373.5790290307,44363.3026031418,-20226.361010773,-0.325964711600989,0,-0.577271582103519,-0.863677380491205,1,1
"1802",262,1,1,94380.9932565857,15254.9622460025,0.161631719688837,117569.628285153,52919.7789271269,0,-18566.2911880135,75814.7020602793,30777.274536253,0.405953907354043,118772.122386549,24453.7121059697,0,-39195.7731010385,18566.2911963063,-15522.3122902506,-0.244322187665206,0,-0.244890379879771,-0.516994356449154,1,1
"1803",2620,1,1,115237.133091591,12431.3360007726,0.10787613043872,140669.478975561,90048.8704201544,0,-47677.9214087768,67559.2116741444,33045.5652699113,0.48913485594383,125690.484332777,19663.518845894,0,-70385.3515764771,47677.9214174467,-20614.2292691387,-0.38125872550511,0,-0.705720511345511,-1.0418320438072,1,1
"1804",2621,1,1,118678.896478813,13057.9481592251,0.110027549519356,140895.00602903,90790.7749384955,0,-48627.4683210773,70051.4281570952,32781.2643655262,0.467959972093816,127814.204553881,21236.3575630258,0,-69554.4173836203,48627.4683217178,-19723.3162063011,-0.35793242257446,0,-0.694168121912187,-0.992905058661184,1,1
"1805",2622,1,1,111496.586192691,10916.9914894999,0.0979132353938882,128707.866913171,87554.3105711786,0,-46075.5778738184,65421.008318737,32467.5066484582,0.496285634887704,120409.243928506,16051.8768275102,0,-71502.4337510176,46075.577873954,-21550.5151589583,-0.398372399493816,0,-0.704293300545508,-1.09295829563879,1,1
"1806",2623,1,1,105325.221686611,8636.21312093106,0.0819956795023666,119549.937792799,83323.3433371523,0,-43297.0312581488,62028.1904257724,33053.0110176063,0.532870792952763,115515.267726233,15727.4455972404,0,-69642.20857673,43297.0312608385,-24416.7978966752,-0.450875113450396,0,-0.698021834281323,-1.12275093145058,1,1
"1807",2624,1,1,102691.302412089,9836.44087622014,0.0957865042625283,119288.568256589,78358.0081892202,0,-44280.1141310241,58411.1882800267,32412.0227659628,0.554894083143415,106163.601942348,9463.51183659688,0,-71788.3349426666,44280.1141320623,-22575.5818897427,-0.459107578880887,0,-0.758075900095416,-1.22901685544401,1,1
"1808",2625,1,1,110496.674431474,11334.1050102193,0.102574173101004,127573.51801438,86330.3934425276,0,-46011.7121289972,64484.9623015042,33011.0034647725,0.511917853195403,114492.208597776,19149.3615759228,0,-70784.6008361856,46011.7121299693,-21676.8984545532,-0.409343680094398,0,-0.713526231338494,-1.09769159056381,1,1
"1809",2626,1,1,117216.353741309,11649.3330937609,0.0993831724152625,135357.072792708,92268.1884490386,0,-46699.6937439856,70516.659995709,34291.583474936,0.486290523076712,124264.911279012,23281.5548737424,0,-72126.1501745633,46699.6937456004,-22642.250381175,-0.38690735066145,0,-0.662250505722014,-1.02282425428193,1,1
"1810",2627,1,1,116676.983362801,10647.1419022637,0.0912531468966502,134819.74959346,97377.6705280554,0,-45123.0391159924,71553.9442403605,34940.6612513871,0.488312162555514,121499.041668096,22773.7558679959,0,-74828.7085912108,45123.0391224408,-24293.5193491234,-0.397059015658864,0,-0.630615678772609,-1.04576637089145,1,1
"1811",2628,1,1,111620.187639823,10032.5171092695,0.0898808479129468,130187.457326012,86144.6553100275,0,-42684.1282930119,68936.0593434866,33153.3183712747,0.480928539968933,117138.230925646,23968.7363583052,0,-69092.7450888147,42684.1282963362,-23120.8012620052,-0.391047692055986,0,-0.619184338349402,-1.00227291415872,1,1
"1812",2629,1,1,106904.898199914,9912.85298995565,0.0927259008414979,123859.728808926,80653.7843887436,0,-40380.241888648,66524.656307567,30867.2578407033,0.463997253860179,114930.125889982,21339.3766681752,0,-65789.1698678935,40380.241892347,-20954.4048507477,-0.371271353018681,0,-0.60699662546103,-0.988944152732288,1,1
"1813",263,1,1,100147.107216162,17988.3884142156,0.179619650674368,128663.150939581,59806.866070387,0,-16416.9911454938,83730.1160629726,30399.9371578052,0.363070524528375,130107.303227967,30049.4367217101,0,-34043.5303535682,16416.9911531899,-12411.5487435895,-0.183450873854006,0,-0.196070325916504,-0.406586446481985,1,1
"1814",2630,1,1,107438.563662992,11679.2567974846,0.108706375060258,125319.391268259,72244.4712696507,0,-40639.3890764801,66799.1745796656,33025.6970419681,0.49440277143816,120027.08465843,19201.0055664941,0,-62899.0472222232,40639.3890833261,-21346.4402444836,-0.385696396377902,0,-0.608381605494437,-0.941614138468268,1,1
"1815",2631,1,1,106349.608111704,10422.3400613301,0.0980007378154414,126096.822194217,79323.1188035905,0,-40366.1503570851,65983.4577535142,32815.3442650983,0.49732683588184,113066.709561856,18869.7445874342,0,-64845.4472057171,40366.1503581903,-22393.0042037682,-0.399326098066399,0,-0.611761670748989,-0.982753093176047,1,1
